Make,YOM,Color,Used,Transmission,Mileage,Price,City
Nissan,2014,Black,Foreign Used,Automatic,76.0,1950000,Mombasa
Nissan,2014,Silver,Foreign Used,Automatic,35000.0,850000,Nairobi
Nissan,2015,White,Foreign Used,Automatic,62396.0,2300000,Mombasa
Nissan,2015,Red,Foreign Used,Automatic,65000.0,1750000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,50000.0,1980000,Mombasa
Nissan,2014,Blue,Foreign Used,Automatic,86532.0,760000,Nairobi
Nissan,2013,White,Foreign Used,Automatic,110000.0,699000,Nairobi
Nissan,2014,Black,Foreign Used,Automatic,65475.0,1750000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,93000.0,2200000,Nairobi
Nissan,2014,Beige,Foreign Used,Automatic,70000.0,730000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,109000.0,1390000,Nairobi
Nissan,2014,Black,Foreign Used,Automatic,80563.0,1700000,Mombasa
Nissan,2014,Silver,Foreign Used,Automatic,65000.0,670000,Mombasa
Nissan,2015,Silver,Foreign Used,Automatic,102745.0,800000,Nairobi
Nissan,2014,Black,Foreign Used,Automatic,79200.0,1500000,Mombasa
Nissan,2015,Black,Foreign Used,Automatic,86324.0,680000,Mombasa
Nissan,2013,Gray,Foreign Used,Automatic,69852.0,1850000,Mombasa
Nissan,2014,White,Foreign Used,Automatic,96524.0,2200000,Nairobi
Nissan,2014,White,Foreign Used,Automatic,95567.0,1725000,Mombasa
Nissan,2014,White,Foreign Used,Automatic,69555.0,850000,Mombasa
Nissan,2014,Orange,Foreign Used,Automatic,42314.0,630000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,86532.0,1680000,Mombasa
Nissan,2014,White,Foreign Used,Automatic,30000.0,2200000,Mombasa
Nissan,2014,Silver,Foreign Used,Automatic,58255.0,800000,Mombasa
Nissan,2014,Gray,Foreign Used,Automatic,59000.0,1280000,Nairobi
Nissan,2014,White,Foreign Used,Automatic,98000.0,2290000,Nairobi
Nissan,2014,Black,Foreign Used,Automatic,74000.0,2090000,Nairobi
Nissan,2014,White,Foreign Used,Automatic,53000.0,700000,Nairobi
Nissan,2014,Black,Foreign Used,Automatic,93000.0,2200000,Nairobi
Nissan,2014,Purple,Foreign Used,Automatic,86532.0,650000,Nairobi
Nissan,2014,Black,Foreign Used,Automatic,86532.0,2350000,Nairobi
Nissan,2014,Black,Foreign Used,Automatic,90000.0,1290000,Nairobi
Nissan,2014,Gray,Foreign Used,Automatic,69088.0,1000000,Mombasa
Nissan,2015,Silver,Foreign Used,Automatic,86532.0,780000,Mombasa
Nissan,2014,White,Foreign Used,Automatic,63000.0,830000,Nairobi
Nissan,2014,Black,Foreign Used,Automatic,146767.0,835000,Nairobi
Nissan,2014,Gray,Foreign Used,Automatic,95123.0,1200000,Mombasa
Nissan,2014,Red,Foreign Used,Automatic,86532.0,1150000,Mombasa
Nissan,2014,White,Foreign Used,Automatic,73200.0,1100000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,58000.0,1450000,Mombasa
Nissan,2014,Silver,Foreign Used,Automatic,89652.0,1300000,Nairobi
Nissan,2012,Silver,Foreign Used,Automatic,89456.0,1400000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,90000.0,2130000,Nairobi
Nissan,2015,Silver,Foreign Used,Automatic,157000.0,770000,Nairobi
Nissan,2015,Silver,Foreign Used,Automatic,47000.0,1299999,Nairobi
Nissan,2014,Gray,Foreign Used,Automatic,63000.0,1250000,Nairobi
Nissan,1994,Silver,Foreign Used,Automatic,115000.0,1180000,Nairobi
Nissan,2014,Gray,Foreign Used,Automatic,115000.0,1930000,Nairobi
Nissan,2014,Red,Foreign Used,Automatic,86532.0,795000,Nairobi
Nissan,2014,Black,Foreign Used,Automatic,76000.0,2100000,Nairobi
Nissan,2014,Black,Foreign Used,Automatic,95.0,1450000,Mombasa
